name,est_diameter_min,est_diameter_max,relative_velocity_mean,miss_distance_mean,miss_distance_min,absolute_magnitude_mean,hazardous,observations,est_diameter_range,est_diameter_mean,est_diameter_min_log1p,est_diameter_max_log1p,est_diameter_mean_log1p,est_diameter_range_log1p,relative_velocity_mean_log1p,miss_distance_mean_log1p,miss_distance_min_log1p,hazardous_enc
(1983 LC),0.3424167308,0.7656670868,60192.646490646,18476643.271000303,10334476.507400043,19.45,True,2,0.4232503559999999,0.5540419087999999,0.2944715200023631,0.5685285718402587,0.4408592199215848,0.3529432389807636,11.00532208570468,16.7320180206218,16.150996194174166,1
(1986 NA),0.2848098313,0.6368541435,51810.0770445325,70052459.20857224,70052459.20857224,19.85,False,1,0.3520443122,0.4608319874,0.2506107161891783,0.4927761945415426,0.3790061277984548,0.3016177523795321,10.855359247945056,18.064754950881067,18.064754950881067,0
(1988 NE),0.4023045798,0.8995803882,22815.7388445872,65063306.32090239,65063306.32090239,19.1,False,1,0.4972758083999999,0.650942484,0.3381170116654088,0.6416330134660249,0.5013463272627228,0.403647329215412,10.035249705429337,17.99087131265291,17.99087131265291,0
(1989 AZ),0.3195618867,0.7145621017,55184.04657242711,25604655.93737966,20219801.80605164,19.6,False,2,0.395000215,0.5170619942,0.2772997774907997,0.5391577137288404,0.4167755658464857,0.3328945693951808,10.918447300139348,17.058284804522273,16.822173019088254,0
(1991 GO),0.2658,0.5943468684,92501.8968285844,36957276.97542415,27025626.03348496,20.0,True,2,0.3285468683999999,0.4300734342,0.2357043333590679,0.4664641654776024,0.3577257955407295,0.2840857647824883,11.434995240075924,17.425273154174544,17.112296123199478,1
(1991 TF3),0.3685996993,0.8242139842,48507.46961682756,13559806.110873455,12823591.49951605,19.29,False,3,0.4556142849,0.59640684175,0.3137880998226602,0.6011492006702905,0.4677553799199155,0.3754280004614916,10.789493692954103,16.42262061551351,16.366797196372076,0
(1992 SZ),0.2645787599,0.5916160926,46463.3583613621,67973572.18372044,67973572.18372044,20.01,False,1,0.3270373327,0.42809742625,0.2347390705974799,0.4647499104770481,0.3563430872553939,0.2829488881118387,10.74644081082178,18.03462955795314,18.03462955795314,0
(1993 HC),0.1864468183,0.41690776,59221.00146204235,38809550.080043614,28949897.615937818,20.77,False,2,0.2304609417,0.30167728915,0.1709629735545328,0.3484768633180535,0.2636536552688586,0.2073888485329201,10.989048398146991,17.474176936157438,17.181077259937002,0
(1993 UD),0.2658,0.5943468684,46988.50386185192,51239189.324991085,28687348.148081943,20.0,False,5,0.3285468683999999,0.4300734342,0.2357043333590679,0.4664641654776024,0.3577257955407295,0.2840857647824883,10.757679533663849,17.75201523324796,17.171966787316553,0
(1994 CJ1),0.1394938229,0.3119176705,33606.5486340571,44618793.54933716,13566889.46031285,21.399999999999995,True,3,0.1724238476,0.2257057467,0.1305841488025551,0.2714899374096692,0.2035167978585194,0.1590732704870322,10.422505982446518,17.613665730676722,16.423142857454813,1
(1994 EK),0.2315021222,0.5176544822,68176.62414560051,35550075.05196525,20279652.26365061,20.3,True,2,0.28615236,0.3745783022,0.2082346618412825,0.4171660392314859,0.3181469947706598,0.2516550946919589,11.129871698290955,17.386452853507024,16.825128639087968,1
(1994 NK),0.2658,0.5943468684,24722.5904967444,17749451.27868398,17749451.27868398,20.0,False,1,0.3285468683999999,0.4300734342,0.2357043333590679,0.4664641654776024,0.3577257955407295,0.2840857647824883,10.115513147656412,16.691865215870664,16.691865215870664,0
(1994 WR12),0.0876102615,0.1959025002,59809.18158297719,46238717.11965561,6152189.141281215,22.41,False,11,0.1082922387,0.14175638085,0.0839828687261525,0.1789011306334696,0.132567761725117,0.1028203068876451,10.998931186030935,17.649328059618338,15.632318696920365,0
(1995 CR),0.1160259082,0.2594418179,111704.0151808988,45228980.66480755,2946214.724652017,21.8,True,10,0.1434159096999999,0.18773386305,0.1097740789226247,0.2306686211424922,0.1720471748423169,0.1340201941291001,11.623616882714542,17.627248626604228,14.896032099614368,1
(1995 FJ),0.1988634532,0.4446721997,57550.13885120339,45864004.95015142,26587302.12017564,20.63,False,7,0.2458087464999999,0.32176782645,0.1813739856568604,0.3678824444110352,0.2789701030483372,0.2197849146031163,10.960429202854376,17.64119118330503,17.095944333486273,0
(1995 FO),0.1838886721,0.411187571,39114.54804332872,52663176.34712888,31905056.22876523,20.8,False,4,0.2272988988999999,0.29753812155,0.1688045050984363,0.3444315988336452,0.2604687163970132,0.2048157374482676,10.574275315099351,17.779427047225695,17.278275089007007,0
(1995 FX),0.2538370294,0.5675968529,65251.8192028849,34064303.11543961,34064303.11543961,20.1,False,1,0.3137598234999999,0.41071694115,0.226208473159057,0.4495437797501018,0.3440980440642779,0.2728931206311153,11.08602453042606,17.34376059384209,17.34376059384209,0
(1995 SB),0.0921626549,0.2060819612,26873.170911798887,52520786.3680417,42186756.74687882,22.3,False,8,0.1139193063,0.1491223080499999,0.0881598176041852,0.1873770571897662,0.1389984405905312,0.1078847028850694,10.198920915160569,17.77671959906185,17.557616932294188,0
(1995 SD1),0.2016299194,0.4508582062,43746.893256992,69581101.04873016,69581101.04873016,20.6,False,1,0.2492282868,0.3262440628,0.1836789013515641,0.3721552476935063,0.2823509342536603,0.222525990102533,10.686198736500415,18.05800356614744,18.05800356614744,0
(1996 AE2),0.2315021222,0.5176544822,71225.89356269896,42479129.3220442,20519164.93110838,20.3,False,5,0.28615236,0.3745783022,0.2082346618412825,0.4171660392314859,0.3181469947706598,0.2516550946919589,11.173625744659596,17.56452346204348,16.8368699308086,0
(1996 BA1),0.2424124811,0.5420507863,13320.449644025,42596581.33844634,42596581.33844634,20.2,False,1,0.2996383052,0.3922316337,0.2170550387613133,0.4331132099424907,0.3309079515888128,0.262085998986012,9.497130770306605,17.56728458122422,17.56728458122422,0
(1996 JA1),0.1677084622,0.3750075218,115704.0251508028,74307664.03223987,74307664.03223987,21.0,True,1,0.2072990596,0.271357992,0.1550432489688802,0.318459201503572,0.2400856142318253,0.1883856824277144,11.65879934482981,18.123724667654237,18.123724667654237,1
(1996 TP6),0.2658,0.5943468684,51527.9982472996,26589620.63284425,26589620.63284425,20.0,False,1,0.3285468683999999,0.4300734342,0.2357043333590679,0.4664641654776024,0.3577257955407295,0.2840857647824883,10.84990000094894,17.096031533439294,17.096031533439294,0
(1996 VB3),0.1015207872,0.2270073813,54451.750684742896,17620382.285563663,3364864.363847017,22.09,False,3,0.1254865941,0.16426408425,0.0966917588025733,0.2045781814401013,0.1520892000801006,0.1182154702319623,10.905088644711268,16.68456693110539,15.028898509516685,0
(1997 AC11),0.2111324448,0.4721064987999999,75272.15202718892,51645905.30473423,24304799.87291211,20.5,False,9,0.2609740539999999,0.3416194717999999,0.1915558267162139,0.38669436741783,0.2938774452855798,0.2318844810375543,11.228878803426388,17.759921492009997,17.006184455583536,0
(1997 GL3),0.3949616937,0.8831611957,93190.1627661703,30287093.93956172,6246635.707014896,19.14,True,3,0.4881995019999999,0.6390614447,0.3328669551830425,0.632951851799684,0.4941237881987118,0.3975670013485259,11.442408176072504,17.22623227016893,15.647553749992737,1
(1997 PN),0.3051792326,0.6824015094,50769.8100693644,53565555.81895599,53565555.81895599,19.7,False,1,0.3772222768,0.493790371,0.2663403743324777,0.520222242576659,0.4013167629433501,0.3200686277798162,10.83507686348412,17.796416822826036,17.796416822826036,0
(1997 QK1),0.2561857545,0.5728487619,70016.9021237192,50638842.29864249,50638842.29864249,20.08,True,1,0.3166630074,0.4145172581999999,0.2280799508210014,0.452888473172799,0.3467883126041068,0.2751005110511854,11.156506232958977,17.74022949388534,17.74022949388534,1
(1997 WQ23),0.1838886721,0.411187571,64801.93143633493,34774357.12839608,11778643.765340196,20.8,True,3,0.2272988988999999,0.29753812155,0.1688045050984363,0.3444315988336452,0.2604687163970132,0.2048157374482676,11.079106119532192,17.364390837757167,16.281798684182405,1
(1997 XS2),0.3503926411,0.7835017643,38346.0545234495,47818695.10525945,47818695.10525945,19.4,False,1,0.4331091231999999,0.5669472027,0.3003953954223141,0.5785787150509708,0.4491292695707721,0.3598462961212166,10.55443299872056,17.682927252898732,17.682927252898732,0
